farm_id,angle_deg,n_turb,country,TI,expected_AEP_kWh,expected_AEP_noWake_kWh,expected_CF,expected_WakeLoss,precompute_time_s
34,40,125,China,0.1,6482411672.353823,7059378969.013085,0.5920010659683856,0.08173060253484646,77.30860730000131
34,50,125,China,0.1,6523004944.241148,7059378969.013085,0.5957082140859495,0.0759803414898582,76.96626030000334
34,60,125,China,0.1,6535251342.723696,7059378969.013085,0.5968266066414334,0.07424557154248707,77.32448459999432
34,70,125,China,0.1,6460725843.731953,7059378969.013085,0.5900206249983518,0.08480251986880165,77.0928034000026
34,80,125,China,0.1,6295611963.869607,7059378969.013085,0.5749417318602381,0.10819181240956306,77.39819369999896
34,90,125,China,0.1,6017153335.697168,7059378969.013085,0.5495117201549925,0.14763701423180886,77.63944839999749
34,100,125,China,0.1,5759925260.179974,7059378969.013085,0.5260205717059336,0.18407479107397712,77.31878639999923
34,110,125,China,0.1,5787283767.502442,7059378969.013085,0.5285190655253372,0.18019930748787727,77.37568650000321
34,120,125,China,0.1,6158258819.585017,7059378969.013085,0.5623980657155266,0.127648643511491,77.53022870000132
34,130,125,China,0.1,6487589695.469908,7059378969.013085,0.5924739447917724,0.08099710697683579,76.91774160000205
34,140,125,China,0.1,6575923091.615019,7059378969.013085,0.6005409216086776,0.06848419379667538,77.4156296000001
34,150,125,China,0.1,6569042540.8559885,7059378969.013085,0.5999125608087661,0.06945886179356749,77.23491550000472
34,160,125,China,0.1,6551283454.064768,7059378969.013085,0.5982907263986089,0.07197453447089132,77.43911629999639
34,170,125,China,0.1,6520229496.614124,7059378969.013085,0.5954547485492351,0.0763734989671953,77.36108609999792
34,0,125,China,0.1,6474040778.660732,7059378969.013085,0.5912366007909344,0.08291638583530875,76.59018720000313
34,10,125,China,0.1,6479309823.231588,7059378969.013085,0.5917177920759441,0.082169996585775,76.6981919999962
34,20,125,China,0.1,6519431064.423755,7059378969.013085,0.5953818323674662,0.07648660129445019,76.90258990000439
34,30,125,China,0.1,6497203067.419621,7059378969.013085,0.5933518783031618,0.07963531977261977,76.90400009999576
34,40,125,China,0.1,6482411672.353823,7059378969.013085,0.5920010659683856,0.08173060253484646,76.88271720000193
34,50,125,China,0.1,6523004944.241148,7059378969.013085,0.5957082140859495,0.0759803414898582,76.59271110000554
34,60,125,China,0.1,6535251342.723696,7059378969.013085,0.5968266066414334,0.07424557154248707,76.51786249999714
34,70,125,China,0.1,6460725843.731953,7059378969.013085,0.5900206249983518,0.08480251986880165,76.9474801000033
34,80,125,China,0.1,6295611963.869607,7059378969.013085,0.5749417318602381,0.10819181240956306,76.8776685000048
34,90,125,China,0.1,6017153335.697168,7059378969.013085,0.5495117201549925,0.14763701423180886,76.77716350000264
34,100,125,China,0.1,5759925260.179974,7059378969.013085,0.5260205717059336,0.18407479107397712,77.0195803999959
34,110,125,China,0.1,5787283767.502442,7059378969.013085,0.5285190655253372,0.18019930748787727,76.66428420000011
34,120,125,China,0.1,6158258819.585017,7059378969.013085,0.5623980657155266,0.127648643511491,76.91873589999886
34,130,125,China,0.1,6487589695.469908,7059378969.013085,0.5924739447917724,0.08099710697683579,76.51857319999544
34,140,125,China,0.1,6575923091.615019,7059378969.013085,0.6005409216086776,0.06848419379667538,77.23663289999968
34,150,125,China,0.1,6569042540.8559885,7059378969.013085,0.5999125608087661,0.06945886179356749,76.89936429999943
34,160,125,China,0.1,6551283454.064768,7059378969.013085,0.5982907263986089,0.07197453447089132,76.68520480000007
34,170,125,China,0.1,6520229496.614124,7059378969.013085,0.5954547485492351,0.0763734989671953,77.02701740000339
34,0,125,China,0.1,6474040778.660732,7059378969.013085,0.5912366007909344,0.08291638583530875,76.97507699999551
34,10,125,China,0.1,6479309823.231588,7059378969.013085,0.5917177920759441,0.082169996585775,77.31954660000338
