farm_id,receptor_id,season,direction_deg,concentration,flux,rotor_height_fraction,evidence_level,conservation_weight,n_observations,source
67,radar_bauer_United Kingdom,spring,51.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,spring,61.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,autumn,208.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,autumn,218.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,autumn,228.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,autumn,238.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
67,radar_bauer_United Kingdom,autumn,248.1,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
69,radar_bauer_France,spring,24.299999999999997,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,spring,34.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,spring,44.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,spring,54.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,spring,64.3,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,autumn,210.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,autumn,220.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,autumn,230.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,autumn,240.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
69,radar_bauer_France,autumn,250.2,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,spring,32.8,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,spring,42.8,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,spring,52.8,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,spring,62.8,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,spring,72.8,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,autumn,215.9,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,autumn,225.9,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,autumn,235.9,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,autumn,245.9,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
75,radar_bauer_France,autumn,255.9,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_France
80,radar_bauer_United Kingdom,spring,28.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,spring,38.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,spring,48.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,spring,58.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,spring,68.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,autumn,212.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,autumn,222.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,autumn,232.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,autumn,242.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
80,radar_bauer_United Kingdom,autumn,252.7,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
83,radar_bauer_United Kingdom,spring,28.5,0.15,50.0,0.5,radar,2.3345942228335628,5,Bauer2018_grid_United Kingdom
