species,order,iucn,migratory,weight
Ortygornis pondicerianus,Galliformes,LC,False,0.5
Ortygornis gularis,Galliformes,NT,False,1.0
Francolinus pintadeanus,Galliformes,LC,False,0.5
Francolinus francolinus,Galliformes,LC,False,0.5
Francolinus pictus,Galliformes,LC,False,0.5
Campocolinus coqui,Galliformes,LC,False,0.5
Campocolinus albogularis,Galliformes,LC,False,0.5
Campocolinus schlegelii,Galliformes,LC,False,0.5
Scleroptila streptophora,Galliformes,LC,False,0.5
Scleroptila levaillantii,Galliformes,LC,False,0.5
Scleroptila finschi,Galliformes,LC,False,0.5
Scleroptila psilolaema,Galliformes,NT,False,1.0
Scleroptila elgonensis,Galliformes,LC,False,0.5
Scleroptila afra,Galliformes,LC,False,0.5
Scleroptila gutturalis,Galliformes,LC,False,0.5
Scleroptila shelleyi,Galliformes,LC,False,0.5
Scleroptila whytei,Galliformes,LC,False,0.5
Tetraogallus tibetanus,Galliformes,LC,False,0.5
Tetraogallus altaicus,Galliformes,LC,False,0.5
Tetraogallus caucasicus,Galliformes,LC,False,0.5
Tetraogallus caspius,Galliformes,LC,False,0.5
Tetraogallus himalayensis,Galliformes,LC,False,0.5
Ammoperdix griseogularis,Galliformes,LC,False,0.5
Ammoperdix heyi,Galliformes,LC,False,0.5
Synoicus ypsilophorus,Galliformes,LC,False,0.5
Anurophasis monorthonyx,Galliformes,LC,False,0.5
Synoicus chinensis,Galliformes,LC,True,2.0
Synoicus adansonii,Galliformes,LC,True,2.0
Margaroperdix madagarensis,Galliformes,LC,False,0.5
Coturnix coturnix,Galliformes,LC,True,2.0
Coturnix japonica,Galliformes,NT,True,4.0
Coturnix delegorguei,Galliformes,LC,True,2.0
Coturnix coromandelica,Galliformes,LC,True,2.0
Coturnix pectoralis,Galliformes,LC,False,0.5
Coturnix novaezelandiae,Galliformes,EX,False,0.25
Alectoris barbara,Galliformes,LC,False,0.5
Alectoris melanocephala,Galliformes,LC,False,0.5
Alectoris rufa,Galliformes,NT,False,1.0
Alectoris chukar,Galliformes,LC,False,0.5
Alectoris graeca,Galliformes,NT,True,4.0
Alectoris philbyi,Galliformes,LC,False,0.5
Alectoris magna,Galliformes,LC,False,0.5
Perdicula asiatica,Galliformes,LC,True,2.0
Perdicula argoondah,Galliformes,LC,False,0.5
Perdicula erythrorhyncha,Galliformes,LC,False,0.5
Perdicula manipurensis,Galliformes,CR,False,2.5
Ophrysia superciliosa,Galliformes,CR,False,2.5
Pternistis hartlaubi,Galliformes,LC,False,0.5
Pternistis camerunensis,Galliformes,EN,False,2.0
Pternistis nobilis,Galliformes,LC,False,0.5
Pternistis castaneicollis,Galliformes,LC,False,0.5
Pternistis atrifrons,Galliformes,EN,False,2.0
Pternistis erckelii,Galliformes,LC,False,0.5
Pternistis ochropectus,Galliformes,CR,False,2.5
Pternistis swierstrai,Galliformes,VU,False,1.5
Pternistis ahantensis,Galliformes,LC,False,0.5
