farm_id,n_turbines,centroid_lat,centroid_lon,hub_height,rotor_diam,capacity_kw,hub_height_imputed,rotor_diam_imputed,capacity_imputed,pc1_angle,explained_var_ratio,grid_dist_km,spring_dir,autumn_dir,spring_conc,autumn_conc,budget,theta_econ,theta_eco,aep_cost_pct,risk_reduction,risk_reduction_abs
1030.0,132.0,42.5789,-3.7835,112.0,87.0,2000.0,False,False,False,4.94,0.9666,118.98034421496307,49.6,250.5,0.9885,0.8988,0.05,0,60,2.5845,95.48,0.694039
376.0,128.0,53.4687,13.8417,148.0,150.0,1900.0,False,False,False,99.34,0.6954,7.407984647974291,51.4,229.8,0.8544,0.7108,0.005,0,40,0.4173,94.24,0.563853
376.0,128.0,53.4687,13.8417,148.0,150.0,1900.0,False,False,False,99.34,0.6954,7.407984647974291,51.4,229.8,0.8544,0.7108,0.01,0,50,0.5766,99.94,0.598004
376.0,128.0,53.4687,13.8417,148.0,150.0,1900.0,False,False,False,99.34,0.6954,7.407984647974291,51.4,229.8,0.8544,0.7108,0.02,0,50,0.5766,99.94,0.598004
376.0,128.0,53.4687,13.8417,148.0,150.0,1900.0,False,False,False,99.34,0.6954,7.407984647974291,51.4,229.8,0.8544,0.7108,0.05,0,50,0.5766,99.94,0.598004
3837.0,127.0,41.9217,-0.5864,35.7,47.0,660.0,False,False,False,164.15,0.8892,119.84994563685598,47.7,247.4,0.983,0.9011,0.005,0,0,0.0,0.0,0.0
3837.0,127.0,41.9217,-0.5864,35.7,47.0,660.0,False,False,False,164.15,0.8892,119.84994563685598,47.7,247.4,0.983,0.9011,0.01,0,10,0.6905,22.87,0.158503
3837.0,127.0,41.9217,-0.5864,35.7,47.0,660.0,False,False,False,164.15,0.8892,119.84994563685598,47.7,247.4,0.983,0.9011,0.02,0,20,1.3953,46.34,0.321173
3837.0,127.0,41.9217,-0.5864,35.7,47.0,660.0,False,False,False,164.15,0.8892,119.84994563685598,47.7,247.4,0.983,0.9011,0.05,0,50,4.6431,93.71,0.649442
179.0,125.0,54.6232,9.0737,113.5,115.7,2310.0,False,False,False,162.39,0.9303,14.651362352058667,65.5,245.6,0.876,0.4713,0.005,0,40,0.4497,77.57,0.642675
179.0,125.0,54.6232,9.0737,113.5,115.7,2310.0,False,False,False,162.39,0.9303,14.651362352058667,65.5,245.6,0.876,0.4713,0.01,0,60,0.9182,98.88,0.819186
179.0,125.0,54.6232,9.0737,113.5,115.7,2310.0,False,False,False,162.39,0.9303,14.651362352058667,65.5,245.6,0.876,0.4713,0.02,0,70,1.1295,99.27,0.822428
179.0,125.0,54.6232,9.0737,113.5,115.7,2310.0,False,False,False,162.39,0.9303,14.651362352058667,65.5,245.6,0.876,0.4713,0.05,0,70,1.1295,99.27,0.822428
1556.0,123.0,42.5927,-2.378,108.0,163.0,5900.0,False,False,False,165.17,0.9174,46.12350720432989,49.6,250.5,0.9885,0.8988,0.005,10,20,0.2244,28.28,0.162228
1556.0,123.0,42.5927,-2.378,108.0,163.0,5900.0,False,False,False,165.17,0.9174,46.12350720432989,49.6,250.5,0.9885,0.8988,0.01,10,30,0.8817,54.7,0.313762
1556.0,123.0,42.5927,-2.378,108.0,163.0,5900.0,False,False,False,165.17,0.9174,46.12350720432989,49.6,250.5,0.9885,0.8988,0.02,10,30,0.8817,54.7,0.313762
1556.0,123.0,42.5927,-2.378,108.0,163.0,5900.0,False,False,False,165.17,0.9174,46.12350720432989,49.6,250.5,0.9885,0.8988,0.05,10,50,4.5482,89.81,0.515134
2009.0,119.0,53.1117,5.4697,109.0,62.0,1300.0,False,False,False,75.08,0.8551,12.585766545792552,59.7,246.4,0.8536,0.5067,0.005,80,60,0.0793,95.17,0.09148
2009.0,119.0,53.1117,5.4697,109.0,62.0,1300.0,False,False,False,75.08,0.8551,12.585766545792552,59.7,246.4,0.8536,0.5067,0.01,80,60,0.0793,95.17,0.09148
2009.0,119.0,53.1117,5.4697,109.0,62.0,1300.0,False,False,False,75.08,0.8551,12.585766545792552,59.7,246.4,0.8536,0.5067,0.02,80,60,0.0793,95.17,0.09148
2009.0,119.0,53.1117,5.4697,109.0,62.0,1300.0,False,False,False,75.08,0.8551,12.585766545792552,59.7,246.4,0.8536,0.5067,0.05,80,60,0.0793,95.17,0.09148
319.0,119.0,53.6389,7.7755,135.0,71.0,600.0,False,False,False,179.07,0.6769,15.524879849972288,61.8,243.3,0.871,0.5045,0.005,0,60,0.4296,99.77,0.782711
319.0,119.0,53.6389,7.7755,135.0,71.0,600.0,False,False,False,179.07,0.6769,15.524879849972288,61.8,243.3,0.871,0.5045,0.01,0,60,0.4296,99.77,0.782711
